# x, y
0.000000000000000000e+00 -3.962535429284200772e-01
4.166666666666666852e-01 8.747443852958599608e-01
8.333333333333333703e-01 9.145618066526202128e-01
1.250000000000000000e+00 1.553165158889492581e+00
1.666666666666666741e+00 1.394573413064014389e+00
2.083333333333333481e+00 1.989728284892512633e+00
2.500000000000000000e+00 1.944417445999015115e+00
2.916666666666666963e+00 1.872311453581445573e+00
3.333333333333333481e+00 1.782658082032472002e+00
3.750000000000000000e+00 1.971088644693874237e+00
4.166666666666666963e+00 1.950312273272330366e+00
4.583333333333333925e+00 2.902557399129612747e+00
5.000000000000000000e+00 2.714668898207456049e+00
5.416666666666666963e+00 3.030016965782480476e+00
5.833333333333333925e+00 3.019705445425257651e+00
6.250000000000000000e+00 3.454349951607751379e+00
6.666666666666666963e+00 3.057526636028165434e+00
7.083333333333333925e+00 3.688067690270074195e+00
7.500000000000000000e+00 2.998837950978454625e+00
7.916666666666666963e+00 3.554359024937879585e+00
8.333333333333333925e+00 3.744270075263432140e+00
8.750000000000000000e+00 3.732840632008445514e+00
9.166666666666667851e+00 3.310182303495154521e+00
9.583333333333333925e+00 3.931732109829253474e+00
1.000000000000000000e+01 4.081556446723093146e+00
